"schemaname","tablename","size","row_count"
"public","articles","144 kB","1"
"public","auth_group","24 kB","1"
"public","auth_group_permissions","32 kB","1"
"public","auth_permission","56 kB","1"
"public","categories","96 kB","1"
"public","django_admin_log","64 kB","1"
"public","django_content_type","40 kB","1"
"public","django_migrations","32 kB","1"
"public","django_session","64 kB","1"
"public","scraped_articles","64 kB","1"
"public","users","64 kB","1"
"public","users_groups","32 kB","1"
"public","users_user_permissions","32 kB","1"
